learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.087452,6.461384395758311E-11,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,2856.0
2.0,0.099903,7.381325587630272E-11,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,2856.0
3.0,0.103175,7.623077059785525E-11,3.0,0.0,0.0,0.3333333333333333,0.0,?,0.0,0.2,3.0,2856.0
4.0,0.104854,7.747129847606023E-11,4.0,0.0,0.0,0.3333333333333333,0.0,?,0.0,0.2,4.0,2856.0
5.0,0.107757,7.961617782711983E-11,5.0,0.0,0.0,0.41666666666666663,0.0,?,0.0,0.2,5.0,2856.0
6.0,0.110883,8.192582055926323E-11,6.0,0.0,0.0,0.4138888888888888,0.0,?,0.0,0.2,6.0,2856.0
7.0,0.11222,8.291366199652355E-11,7.0,0.0,0.0,0.40238095238095234,0.0,?,0.0,0.2,7.0,2856.0
8.0,0.113403,8.37877206504345E-11,8.0,0.0,0.0,0.387797619047619,0.0,?,0.0,0.2,8.0,2856.0
9.0,0.114515,8.460932100812596E-11,9.0,0.0,0.0,0.3724867724867724,0.0,?,0.0,0.2,9.0,2856.0
10.0,0.115637,8.543830985824268E-11,10.0,0.0,0.0,0.41301587301587295,0.0,?,0.0,0.2,10.0,2856.0
11.0,0.117673,8.694260691603026E-11,11.0,0.0,0.0,0.4027417027417027,0.0,?,0.0,0.2,11.0,2856.0
12.0,0.119422,8.823485424121222E-11,12.0,0.0,0.0,0.3919071669071668,0.0,?,0.0,0.2,12.0,2856.0
13.0,0.120468,8.900769054889681E-11,13.0,0.0,0.0,0.38099123099123094,0.0,?,0.0,0.2,13.0,2856.0
14.0,0.123754,9.143554915984474E-11,14.0,0.0,0.0,0.37026108811823094,0.0,?,0.0,0.2,14.0,2856.0
15.0,0.126032,9.311864773432416E-11,15.0,0.0,0.0,0.3979579679579679,0.0,?,0.0,0.2,15.0,2856.0
16.0,0.1271,9.390773872534437E-11,16.0,0.0,0.0,0.38975226162726156,0.0,?,0.0,0.2,16.0,2856.0
17.0,0.129974,9.603119144837064E-11,17.0,0.0,0.0,0.3815315403550697,0.0,?,0.0,0.2,17.0,2856.0
18.0,0.131885,9.744313235084218E-11,18.0,0.0,0.0,0.37340723909351353,0.0,?,0.0,0.2,18.0,2856.0
19.0,0.132935,9.821892405549688E-11,19.0,0.0,0.0,0.365450132942393,0.0,?,0.0,0.2,19.0,2856.0
20.0,0.133876,9.891418119271598E-11,20.0,0.0,0.0,0.357703942084747,0.0,?,0.0,0.2,20.0,2856.0
21.0,0.134789,9.958875055114431E-11,21.0,0.0,0.0,0.3501942305569019,0.0,?,0.0,0.2,21.0,2856.0
22.0,0.135757,1.0030395661791169E-10,22.0,0.0,0.0,0.3429343196441423,0.0,?,0.0,0.2,22.0,2856.0
23.0,0.140244,1.0361917316913608E-10,23.0,0.0,0.0,0.33592927017344837,0.0,?,0.0,0.2,23.0,2856.0
24.0,0.142634,1.0538502285877867E-10,24.0,0.0,0.0,0.32917859406114885,0.0,?,0.0,0.2,24.0,2856.0
25.0,0.145089,1.071988977491856E-10,25.0,0.0,0.0,0.3226781169653696,0.0,?,0.0,0.2,25.0,2856.0
26.0,0.146304,1.0809659957885747E-10,26.0,0.0,0.0,0.3164212663128554,0.0,?,0.0,0.2,26.0,2856.0
27.0,0.147329,1.0885392005244896E-10,27.0,0.0,0.0,0.31039996585112567,0.0,?,0.0,0.2,27.0,2856.0
28.0,0.148284,1.0955952107906346E-10,28.0,0.0,0.0,0.30460525807601935,0.0,?,0.0,0.2,28.0,2856.0
29.0,0.149387,1.1037447179357215E-10,29.0,0.0,0.0,0.29902773686157536,0.0,?,0.0,0.2,29.0,2856.0
30.0,0.150857,1.1146058018008873E-10,30.0,0.0,0.0,0.2936578467822814,0.0,?,0.0,0.2,30.0,2856.0
31.0,0.153548,1.1344882349173233E-10,31.0,0.0,0.0,0.28418501301511107,0.0,?,0.0,0.2,31.0,2856.0
32.0,0.155983,1.152479213972887E-10,32.0,0.0,0.0,0.27530423135838883,0.0,?,0.0,0.2,32.0,2856.0
33.0,0.161996,1.1969062189261124E-10,33.0,0.0,0.0,0.2669616788929831,0.0,?,0.0,0.2,33.0,2856.0
34.0,0.164292,1.2138701975345617E-10,34.0,0.0,0.0,0.2591098648078954,0.0,?,0.0,0.2,34.0,2856.0
35.0,0.165326,1.221509898702304E-10,35.0,0.0,0.0,0.25170672581338405,0.0,?,0.0,0.2,35.0,2856.0
36.0,0.166367,1.2292013193170236E-10,36.0,0.0,0.0,0.24471487231856784,0.0,?,0.0,0.2,36.0,2856.0
37.0,0.167338,1.236375545461973E-10,37.0,0.0,0.0,0.23810095685049845,0.0,?,0.0,0.2,37.0,2856.0
38.0,0.168314,1.2435867140690492E-10,38.0,0.0,0.0,0.23183514219653797,0.0,?,0.0,0.2,38.0,2856.0
39.0,0.169314,1.250975206494332E-10,39.0,0.0,0.0,0.2258906513709857,0.0,?,0.0,0.2,39.0,2856.0
40.0,0.170278,1.2580977131923046E-10,40.0,0.0,0.0,0.22024338508671107,0.0,?,0.0,0.2,40.0,2856.0
41.0,0.171216,1.2650281190872199E-10,41.0,0.0,0.0,0.2392618391089864,0.0,?,0.0,0.2,41.0,2856.0
42.0,0.172167,1.272054575383664E-10,42.0,0.0,0.0,0.23475560484448674,0.0,?,0.0,0.2,42.0,2856.0
43.0,0.173063,1.2786746645967173E-10,43.0,0.0,0.0,0.23045896287135917,0.0,?,0.0,0.2,43.0,2856.0
44.0,0.174182,1.2869423876206087E-10,44.0,0.0,0.0,0.22630351025198844,0.0,?,0.0,0.2,44.0,2856.0
45.0,0.175106,1.29376935462157E-10,45.0,0.0,0.0,0.22233274441570086,0.0,?,0.0,0.2,45.0,2856.0
46.0,0.176037,1.3006480410695083E-10,46.0,0.0,0.0,0.21848756617741485,0.0,?,0.0,0.2,46.0,2856.0
47.0,0.176976,1.3075858354568488E-10,47.0,0.0,0.0,0.2148060125450134,0.0,?,0.0,0.2,47.0,2856.0
48.0,0.177857,1.314095097283523E-10,48.0,0.0,0.0,0.2112366843851082,0.0,?,0.0,0.2,48.0,2856.0
49.0,0.178736,1.3205895821253464E-10,49.0,0.0,0.0,0.2078130430888726,0.0,?,0.0,0.2,49.0,2856.0
50.0,0.179657,1.3273943836490318E-10,50.0,0.0,0.0,0.20449011556042848,0.0,?,0.0,0.2,50.0,2856.0
51.0,0.180567,1.3341179117560392E-10,51.0,0.0,0.0,0.20129749891545273,0.0,?,0.0,0.2,51.0,2856.0
52.0,0.181462,1.3407306124766673E-10,52.0,0.0,0.0,0.1981956239363094,0.0,?,0.0,0.2,52.0,2856.0
53.0,0.182313,1.347018219530583E-10,53.0,0.0,0.0,0.21256929140920922,0.0,?,0.0,0.2,53.0,2856.0
54.0,0.183188,1.3534831504027053E-10,54.0,0.0,0.0,0.21005732447428083,0.0,?,0.0,0.2,54.0,2856.0
55.0,0.184695,1.3646176084876064E-10,55.0,0.0,0.0,0.20763670179153165,0.0,?,0.0,0.2,55.0,2856.0
56.0,0.187193,1.3830740625659629E-10,56.0,0.0,0.0,0.20525165486800565,0.0,?,0.0,0.2,56.0,2856.0
57.0,0.189139,1.3974520688255632E-10,57.0,0.0,0.0,0.21789506313217968,0.0,?,0.0,0.2,57.0,2856.0
58.0,0.190205,1.4053282017509147E-10,58.0,0.0,0.0,0.21598554233926032,0.0,?,0.0,0.2,58.0,2856.0
59.0,0.191699,1.4163666094342872E-10,59.0,0.0,0.0,0.21414075106474503,0.0,?,0.0,0.2,59.0,2856.0
60.0,0.192681,1.423622108995915E-10,60.0,0.0,0.0,0.21229587647803377,0.0,?,0.0,0.2,60.0,2856.0
61.0,0.193667,1.4309071625272438E-10,61.0,0.0,0.0,0.2105114895826901,0.0,?,0.0,0.2,61.0,2856.0
62.0,0.194627,1.4380001152555153E-10,62.0,0.0,0.0,0.2087290462023241,0.0,?,0.0,0.2,62.0,2856.0
63.0,0.195542,1.444760585824649E-10,63.0,0.0,0.0,0.21970160102450945,0.0,?,0.0,0.2,63.0,2856.0
64.0,0.196466,1.4515875528256102E-10,64.0,0.0,0.0,0.21828489254075956,0.0,?,0.0,0.2,64.0,2856.0
