learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001268,4.513727294074165E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1376.0
2.0,0.008845,3.1485739681455824E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1376.0
3.0,0.010151,3.6134736405478585E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1376.0
4.0,0.011348,4.0395723448859325E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1376.0
5.0,0.012421,4.421530498398675E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,1376.0
6.0,0.013416,4.818967233101527E-12,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,1544.0
7.0,0.014436,5.226389815409978E-12,7.0,0.0,0.0,0.0,0.0,?,0.0,0.2,7.0,1544.0
8.0,0.01543,5.6234271162086065E-12,8.0,0.0,0.0,0.0,0.0,?,0.0,0.2,8.0,1544.0
9.0,0.01641,6.014872342348099E-12,9.0,0.0,0.0,0.0,0.0,?,0.0,0.2,9.0,1544.0
10.0,0.018596,6.888034856981701E-12,10.0,0.0,0.0,0.0,0.0,?,0.0,0.2,10.0,1544.0
11.0,0.019528,7.260307255718443E-12,11.0,0.0,0.0,0.0,0.0,?,0.0,0.2,11.0,1544.0
12.0,0.020457,7.631381352742514E-12,12.0,0.0,0.0,0.08333333333333333,0.0,?,0.0,0.2,12.0,1544.0
13.0,0.021259,7.95172734393014E-12,13.0,0.0,0.0,0.1474358974358974,0.0,?,0.0,0.2,13.0,1544.0
14.0,0.021902,8.208563344346154E-12,14.0,0.0,0.0,0.14789377289377287,0.0,?,0.0,0.2,14.0,1544.0
15.0,0.022531,8.459807270103033E-12,15.0,0.0,0.0,0.14755799755799753,0.0,?,0.0,0.2,15.0,1544.0
16.0,0.023218,8.764076564047075E-12,16.0,0.0,0.0,0.14666895604395602,0.0,?,0.0,0.2,16.0,1712.0
17.0,0.023823,9.032028416792555E-12,17.0,0.0,0.0,0.14539431157078214,0.0,?,0.0,0.2,17.0,1712.0
18.0,0.024456,9.31238134702047E-12,18.0,0.0,0.0,0.18633645765998705,0.0,?,0.0,0.2,18.0,1712.0
