learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001446,5.596255262692769E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1496.0
2.0,0.008014,3.1015483869446647E-12,2.0,0.0,0.0,0.5,0.0,?,0.0,0.2,2.0,1496.0
3.0,0.010087,3.903833114438586E-12,3.0,0.0,0.0,0.5,0.0,?,0.0,0.2,3.0,1496.0
4.0,0.011699,4.527703341510561E-12,4.0,0.0,0.0,0.45833333333333337,0.0,?,0.0,0.2,4.0,1496.0
5.0,0.013736,5.316055483288235E-12,5.0,0.0,0.0,0.4166666666666667,0.0,?,0.0,0.2,5.0,1496.0
6.0,0.01466,5.6736585166719224E-12,6.0,0.0,0.0,0.3805555555555556,0.0,?,0.0,0.2,6.0,1496.0
7.0,0.015569,6.025456306007173E-12,7.0,0.0,0.0,0.35000000000000003,0.0,?,0.0,0.2,7.0,1496.0
8.0,0.017532,6.7851692438125604E-12,8.0,0.0,0.0,0.32410714285714287,0.0,?,0.0,0.2,8.0,1496.0
9.0,0.018321,7.0905250807603194E-12,9.0,0.0,0.0,0.301984126984127,0.0,?,0.0,0.2,9.0,1496.0
10.0,0.019027,7.36375856730673E-12,10.0,0.0,0.0,0.2828968253968254,0.0,?,0.0,0.2,10.0,1496.0
11.0,0.020199,7.817341635624566E-12,11.0,0.0,0.0,0.26626984126984127,0.0,?,0.0,0.2,11.0,1496.0
12.0,0.020812,8.05458260907067E-12,12.0,0.0,0.0,0.25165644540644544,0.0,?,0.0,0.2,12.0,1496.0
13.0,0.021803,8.438115732537374E-12,13.0,0.0,0.0,0.23870851370851373,0.0,?,0.0,0.2,13.0,1496.0
14.0,0.022389,8.664907266696293E-12,14.0,0.0,0.0,0.22715241108098255,0.0,?,0.0,0.2,14.0,1496.0
15.0,0.022974,8.891311784585315E-12,15.0,0.0,0.0,0.27391367891367896,0.0,?,0.0,0.2,15.0,1496.0
16.0,0.023546,9.112685090965694E-12,16.0,0.0,0.0,0.26512740731490736,0.0,?,0.0,0.2,16.0,1496.0
17.0,0.024275,9.394819951719707E-12,17.0,0.0,0.0,0.25688461864932455,0.0,?,0.0,0.2,17.0,1496.0
18.0,0.024981,9.668053438266116E-12,18.0,0.0,0.0,0.2491491986590026,0.0,?,0.0,0.2,18.0,1496.0
19.0,0.025542,9.88516956567764E-12,19.0,0.0,0.0,0.24188403615648196,0.0,?,0.0,0.2,19.0,1496.0
20.0,0.026118,1.0108090937137601E-11,20.0,0.0,0.0,0.27452667645392104,0.0,?,0.0,0.2,20.0,1496.0
21.0,0.026666,1.0320175853040481E-11,21.0,0.0,0.0,0.26859683471802004,0.0,?,0.0,0.2,21.0,1496.0
22.0,0.028063,1.0860837582084865E-11,22.0,0.0,0.0,0.2628813941788893,0.0,?,0.0,0.2,22.0,1496.0
23.0,0.03127,1.2101998759640584E-11,23.0,0.0,0.0,0.25738062209996526,0.0,?,0.0,0.2,23.0,1496.0
24.0,0.031775,1.2297441975937945E-11,24.0,0.0,0.0,0.2520912121211623,0.0,?,0.0,0.2,24.0,1496.0
25.0,0.032254,1.2482822769218016E-11,25.0,0.0,0.0,0.24700756363631585,0.0,?,0.0,0.2,25.0,1496.0
26.0,0.032961,1.2756443272034322E-11,26.0,0.0,0.0,0.24212265734261137,0.0,?,0.0,0.2,26.0,1496.0
27.0,0.033682,1.303548200262917E-11,27.0,0.0,0.0,0.26591868427864,0.0,?,0.0,0.2,27.0,1496.0
28.0,0.034146,1.3215057551860805E-11,28.0,0.0,0.0,0.261712593702551,0.0,?,0.0,0.2,28.0,1496.0
29.0,0.034601,1.3391149954663378E-11,29.0,0.0,0.0,0.2576141298802956,0.0,?,0.0,0.2,29.0,1496.0
30.0,0.035053,1.3566081308656264E-11,30.0,0.0,0.0,0.25362469336704435,0.0,?,0.0,0.2,30.0,1496.0
31.0,0.035533,1.3751849118206231E-11,31.0,0.0,0.0,0.249744326914344,0.0,?,0.0,0.2,31.0,1496.0
32.0,0.036002,1.3933359748787345E-11,32.0,0.0,0.0,0.24597207476278687,0.0,?,0.0,0.2,32.0,1496.0
33.0,0.037696,1.458896530999077E-11,33.0,0.0,0.0,0.2423062543154297,0.0,?,0.0,0.2,33.0,1496.0
34.0,0.038642,1.4955082701312165E-11,34.0,0.0,0.0,0.23874466216533238,0.0,?,0.0,0.2,34.0,1496.0
35.0,0.039126,1.5142398575941714E-11,35.0,0.0,0.0,0.2571334701370792,0.0,?,0.0,0.2,35.0,1496.0
36.0,0.039596,1.5324296222792723E-11,36.0,0.0,0.0,0.2738003975539064,0.0,?,0.0,0.2,36.0,1496.0
37.0,0.040036,1.549458338154686E-11,37.0,0.0,0.0,0.2709048913137107,0.0,?,0.0,0.2,37.0,1496.0
38.0,0.040468,1.566177441014183E-11,38.0,0.0,0.0,0.26804324054656464,0.0,?,0.0,0.2,38.0,1496.0
39.0,0.04127,1.5972161458598232E-11,39.0,0.0,0.0,0.265218919938758,0.0,?,0.0,0.2,39.0,1496.0
40.0,0.042313,1.6375819428099516E-11,40.0,0.0,0.0,0.2624346007864429,0.0,?,0.0,0.2,40.0,1496.0
41.0,0.043357,1.6779864413870696E-11,41.0,0.0,0.0,0.2596922934501882,0.0,?,0.0,0.2,41.0,1496.0
42.0,0.044439,1.7198616017897916E-11,42.0,0.0,0.0,0.2738343468581686,0.0,?,0.0,0.2,42.0,1496.0
43.0,0.045612,1.7652586102485647E-11,43.0,0.0,0.0,0.28684595119480033,0.0,?,0.0,0.2,43.0,1496.0
44.0,0.046729,1.808488327595922E-11,44.0,0.0,0.0,0.2988256679488297,0.0,?,0.0,0.2,44.0,1496.0
45.0,0.047588,1.841733025179968E-11,45.0,0.0,0.0,0.2967305520954214,0.0,?,0.0,0.2,45.0,1496.0
46.0,0.048021,1.8584908296664548E-11,46.0,0.0,0.0,0.2946277140063905,0.0,?,0.0,0.2,46.0,1496.0
47.0,0.048432,1.8743971983591706E-11,47.0,0.0,0.0,0.29252185145121284,0.0,?,0.0,0.2,47.0,1496.0
48.0,0.048819,1.8893747280041367E-11,48.0,0.0,0.0,0.2904170079147736,0.0,?,0.0,0.2,48.0,1496.0
49.0,0.049222,1.904971483680936E-11,49.0,0.0,0.0,0.3010717628552884,0.0,?,0.0,0.2,49.0,1496.0
50.0,0.04961,1.9199877149528918E-11,50.0,0.0,0.0,0.2991319602512439,0.0,?,0.0,0.2,50.0,1496.0
51.0,0.050027,1.9361262934075454E-11,51.0,0.0,0.0,0.30895290220710186,0.0,?,0.0,0.2,51.0,1496.0
52.0,0.050407,1.9508329116635844E-11,52.0,0.0,0.0,0.30715931321292306,0.0,?,0.0,0.2,52.0,1496.0
53.0,0.050792,1.9657330380545714E-11,53.0,0.0,0.0,0.3053551462001974,0.0,?,0.0,0.2,53.0,1496.0
54.0,0.05117,1.9803622530566313E-11,54.0,0.0,0.0,0.3035438873781811,0.0,?,0.0,0.2,54.0,1496.0
55.0,0.051547,1.9949527664317016E-11,55.0,0.0,0.0,0.3017286113113724,0.0,?,0.0,0.2,55.0,1496.0
56.0,0.051937,2.0100464009576364E-11,56.0,0.0,0.0,0.29991202896652647,0.0,?,0.0,0.2,56.0,1496.0
57.0,0.052307,2.0243660029437796E-11,57.0,0.0,0.0,0.29809652971147466,0.0,?,0.0,0.2,57.0,1496.0
58.0,0.052686,2.0390339195728293E-11,58.0,0.0,0.0,0.3068710299554087,0.0,?,0.0,0.2,58.0,1496.0
59.0,0.053054,2.0532761183049935E-11,59.0,0.0,0.0,0.3051765472735228,0.0,?,0.0,0.2,59.0,1496.0
60.0,0.053441,2.0682536479499596E-11,60.0,0.0,0.0,0.3034801019941053,0.0,?,0.0,0.2,60.0,1496.0
