learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.91E-4,2.0463226570023434E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1000.0
2.0,0.005826,1.5071903665860496E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1000.0
3.0,0.007003,1.8116811083422769E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1000.0
4.0,0.008033,2.078142844968372E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1000.0
5.0,0.008957,2.317182305786345E-12,5.0,0.0,0.0,0.2,0.0,?,0.0,0.2,5.0,1000.0
6.0,0.01057,2.7344665593571137E-12,6.0,0.0,0.0,1.0,0.0,?,0.0,0.2,6.0,1000.0
7.0,0.012264,3.1727055708567307E-12,7.0,0.0,0.0,1.4285714285714286,0.0,?,0.0,0.2,7.0,1000.0
8.0,0.012926,3.3439654442999102E-12,8.0,0.0,0.0,1.5625,0.0,?,0.0,0.2,8.0,1000.0
9.0,0.013589,3.515484018458261E-12,9.0,0.0,0.0,1.6851851851851851,0.0,?,0.0,0.2,9.0,1000.0
10.0,0.014129,3.655182404650583E-12,10.0,0.0,0.0,1.7833333333333332,0.0,?,0.0,0.2,10.0,1000.0
11.0,0.015333,3.966658065716426E-12,11.0,0.0,0.0,1.8636363636363635,0.0,?,0.0,0.2,11.0,1000.0
12.0,0.016453,4.256402866707908E-12,12.0,0.0,0.0,1.9305555555555556,0.0,?,0.0,0.2,12.0,1000.0
13.0,0.01689,4.36945507923762E-12,13.0,0.0,0.0,1.9871794871794874,0.0,?,0.0,0.2,13.0,1000.0
14.0,0.017307,4.477333277463913E-12,14.0,0.0,0.0,1.9642857142857146,0.0,?,0.0,0.2,14.0,1000.0
15.0,0.017731,4.5870223806964024E-12,15.0,0.0,0.0,2.066666666666667,0.0,?,0.0,0.2,15.0,1000.0
16.0,0.01813,4.690243966049618E-12,16.0,0.0,0.0,2.15625,0.0,?,0.0,0.2,16.0,1000.0
17.0,0.018552,4.799415667851766E-12,17.0,0.0,0.0,2.235294117647059,0.0,?,0.0,0.2,17.0,1000.0
18.0,0.018969,4.907293866078059E-12,18.0,0.0,0.0,2.3055555555555554,0.0,?,0.0,0.2,18.0,1000.0
19.0,0.019353,5.00663494070371E-12,19.0,0.0,0.0,2.3684210526315788,0.0,?,0.0,0.2,19.0,1000.0
20.0,0.019843,5.133398291137483E-12,20.0,0.0,0.0,2.425,0.0,?,0.0,0.2,20.0,1000.0
21.0,0.02026,5.241276489363776E-12,21.0,0.0,0.0,2.4285714285714284,0.0,?,0.0,0.2,21.0,1000.0
22.0,0.020769,5.372955153385798E-12,22.0,0.0,0.0,2.5090909090909093,0.0,?,0.0,0.2,22.0,1000.0
23.0,0.022521,5.8261988063653306E-12,23.0,0.0,0.0,2.582608695652174,0.0,?,0.0,0.2,23.0,1000.0
24.0,0.022903,5.92502247956064E-12,24.0,0.0,0.0,2.6500000000000004,0.0,?,0.0,0.2,24.0,1000.0
