learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.58E-4,2.557080652978685E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1304.0
2.0,0.007581,2.5574179987112682E-12,2.0,0.0,0.0,0.5,0.0,?,0.0,0.2,2.0,1304.0
3.0,0.008853,2.9865217705567677E-12,3.0,0.0,0.0,0.5,0.0,?,0.0,0.2,3.0,1304.0
4.0,0.010026,3.382228314876556E-12,4.0,0.0,0.0,0.4583333333333333,0.0,?,0.0,0.2,4.0,1304.0
5.0,0.011115,3.7495978176593776E-12,5.0,0.0,0.0,0.41666666666666663,0.0,?,0.0,0.2,5.0,1304.0
6.0,0.012113,4.0862688587771515E-12,6.0,0.0,0.0,0.38055555555555554,0.0,?,0.0,0.2,6.0,1304.0
7.0,0.013506,4.556191464265187E-12,7.0,0.0,0.0,0.35,0.0,?,0.0,0.2,7.0,1304.0
8.0,0.014684,4.953584737247891E-12,8.0,0.0,0.0,0.3241071428571428,0.0,?,0.0,0.2,8.0,1304.0
9.0,0.015442,5.209292802545759E-12,9.0,0.0,0.0,0.30198412698412697,0.0,?,0.0,0.2,9.0,1304.0
10.0,0.016109,5.43430240617858E-12,10.0,0.0,0.0,0.36067460317460315,0.0,?,0.0,0.2,10.0,1304.0
11.0,0.016822,5.674829913510216E-12,11.0,0.0,0.0,0.4006132756132756,0.0,?,0.0,0.2,11.0,1304.0
12.0,0.017529,5.913333346446354E-12,12.0,0.0,0.0,0.4278348965848966,0.0,?,0.0,0.2,12.0,1304.0
13.0,0.018168,6.128897269566853E-12,13.0,0.0,0.0,0.42056554556554554,0.0,?,0.0,0.2,13.0,1304.0
14.0,0.019267,6.4996402296755044E-12,14.0,0.0,0.0,0.4125031714317428,0.0,?,0.0,0.2,14.0,1304.0
15.0,0.020233,6.825516207350625E-12,15.0,0.0,0.0,0.404050579050579,0.0,?,0.0,0.2,15.0,1304.0
16.0,0.020782,7.010719014538659E-12,16.0,0.0,0.0,0.3954640845265845,0.0,?,0.0,0.2,16.0,1304.0
17.0,0.021934,7.399341298474207E-12,17.0,0.0,0.0,0.41631913837796186,0.0,?,0.0,0.2,17.0,1304.0
18.0,0.022518,7.596351206302643E-12,18.0,0.0,0.0,0.4324059836314738,0.0,?,0.0,0.2,18.0,1304.0
19.0,0.023077,7.784927470816506E-12,19.0,0.0,0.0,0.4271916336157822,0.0,?,0.0,0.2,19.0,1304.0
20.0,0.023577,7.953600337107976E-12,20.0,0.0,0.0,0.42162152561920363,0.0,?,0.0,0.2,20.0,1304.0
21.0,0.024484,8.259572916560703E-12,21.0,0.0,0.0,0.4158300243992416,0.0,?,0.0,0.2,21.0,1304.0
22.0,0.024978,8.426221708456676E-12,22.0,0.0,0.0,0.40991567264083456,0.0,?,0.0,0.2,22.0,1304.0
23.0,0.026643,8.987902353207272E-12,23.0,0.0,0.0,0.4237138054509168,0.0,?,0.0,0.2,23.0,1304.0
24.0,0.027095,9.140382624334762E-12,24.0,0.0,0.0,0.4187402229774185,0.0,?,0.0,0.2,24.0,1304.0
25.0,0.027566,9.299272464381326E-12,25.0,0.0,0.0,0.43032394739165514,0.0,?,0.0,0.2,25.0,1304.0
26.0,0.028019,9.452090081241398E-12,26.0,0.0,0.0,0.42608071864582225,0.0,?,0.0,0.2,26.0,1304.0
27.0,0.028447,9.596474054786897E-12,27.0,0.0,0.0,0.421695962684581,0.0,?,0.0,0.2,27.0,1304.0
28.0,0.028879,9.742207411262728E-12,28.0,0.0,0.0,0.41721740317071365,0.0,?,0.0,0.2,28.0,1304.0
29.0,0.029299,9.883892618947563E-12,29.0,0.0,0.0,0.4274611380367481,0.0,?,0.0,0.2,29.0,1304.0
30.0,0.029714,1.0023891097969483E-11,30.0,0.0,0.0,0.4235572610217301,0.0,?,0.0,0.2,30.0,1304.0
31.0,0.030301,1.022191304299567E-11,31.0,0.0,0.0,0.4195715429242549,0.0,?,0.0,0.2,31.0,1304.0
32.0,0.030784,1.038485103183323E-11,32.0,0.0,0.0,0.4155325128530333,0.0,?,0.0,0.2,32.0,1304.0
33.0,0.031527,1.0635498911142353E-11,33.0,0.0,0.0,0.41146334579688076,0.0,?,0.0,0.2,33.0,1304.0
34.0,0.031956,1.0780220230420435E-11,34.0,0.0,0.0,0.40738287305953935,0.0,?,0.0,0.2,34.0,1304.0
35.0,0.032372,1.0920556055174938E-11,35.0,0.0,0.0,0.4033063876107794,0.0,?,0.0,0.2,35.0,1304.0
36.0,0.032785,1.1059879842731692E-11,36.0,0.0,0.0,0.399246289542226,0.0,?,0.0,0.2,36.0,1304.0
37.0,0.033196,1.119852893882328E-11,37.0,0.0,0.0,0.39521260604108477,0.0,?,0.0,0.2,37.0,1304.0
38.0,0.0336,1.1334816614786788E-11,38.0,0.0,0.0,0.39121341228324685,0.0,?,0.0,0.2,38.0,1304.0
39.0,0.034014,1.1474477748076125E-11,39.0,0.0,0.0,0.3872551736417061,0.0,?,0.0,0.2,39.0,1304.0
40.0,0.034421,1.1611777461237382E-11,40.0,0.0,0.0,0.3833430250698942,0.0,?,0.0,0.2,40.0,1304.0
41.0,0.035053,1.18249799642298E-11,41.0,0.0,0.0,0.37948100006818947,0.0,?,0.0,0.2,41.0,1304.0
42.0,0.035891,1.2107675688134304E-11,42.0,0.0,0.0,0.37567221899804093,0.0,?,0.0,0.2,42.0,1304.0
43.0,0.036334,1.2257119847668546E-11,43.0,0.0,0.0,0.37191904446984725,0.0,?,0.0,0.2,43.0,1304.0
44.0,0.036763,1.2401841166946627E-11,44.0,0.0,0.0,0.3682232099496552,0.0,?,0.0,0.2,44.0,1304.0
45.0,0.037167,1.2538128842910135E-11,45.0,0.0,0.0,0.36458592649622845,0.0,?,0.0,0.2,45.0,1304.0
46.0,0.037564,1.2672055098745562E-11,46.0,0.0,0.0,0.3610079715723974,0.0,?,0.0,0.2,46.0,1304.0
47.0,0.037928,1.2794848945405751E-11,47.0,0.0,0.0,0.3704407344344093,0.0,?,0.0,0.2,47.0,1304.0
48.0,0.03828,1.2913594643274947E-11,48.0,0.0,0.0,0.3671558432471676,0.0,?,0.0,0.2,48.0,1304.0
