learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.89E-4,3.2821670174598693E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1608.0
2.0,0.005905,2.4564253787199653E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1608.0
3.0,0.007461,3.1037069857120513E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1608.0
4.0,0.009572,3.981863458951314E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1608.0
5.0,0.010697,4.4498530526955916E-12,5.0,0.0,0.0,0.2,0.0,?,0.0,0.2,5.0,1608.0
6.0,0.011789,4.904114951690038E-12,6.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,6.0,1608.0
7.0,0.012807,5.3275935351848595E-12,7.0,0.0,0.0,0.2857142857142857,0.0,?,0.0,0.2,7.0,1608.0
8.0,0.013749,5.719456821680068E-12,8.0,0.0,0.0,0.375,0.0,?,0.0,0.2,8.0,1608.0
9.0,0.014765,6.1421034236749005E-12,9.0,0.0,0.0,0.3333333333333333,0.0,?,0.0,0.2,9.0,1608.0
10.0,0.017038,7.087650398413339E-12,10.0,0.0,0.0,0.3,0.0,?,0.0,0.2,10.0,1608.0
11.0,0.019963,8.304423342148462E-12,11.0,0.0,0.0,0.2727272727272727,0.0,?,0.0,0.2,11.0,1608.0
12.0,0.021001,8.736221740643182E-12,12.0,0.0,0.0,0.25,0.0,?,0.0,0.2,12.0,1608.0
13.0,0.021574,8.974584440390267E-12,13.0,0.0,0.0,0.23076923076923078,0.0,?,0.0,0.2,13.0,1608.0
14.0,0.022108,9.196723500887552E-12,14.0,0.0,0.0,0.2857142857142857,0.0,?,0.0,0.2,14.0,1608.0
15.0,0.022644,9.419694542884826E-12,15.0,0.0,0.0,0.26666666666666666,0.0,?,0.0,0.2,15.0,1608.0
16.0,0.023191,9.647241483132043E-12,16.0,0.0,0.0,0.25,0.0,?,0.0,0.2,16.0,1608.0
17.0,0.023714,9.864804645379384E-12,17.0,0.0,0.0,0.23529411764705882,0.0,?,0.0,0.2,17.0,1608.0
18.0,0.024239,1.0083199789126714E-11,18.0,0.0,0.0,0.2222222222222222,0.0,?,0.0,0.2,18.0,1608.0
19.0,0.024764,1.0301594932874044E-11,19.0,0.0,0.0,0.21052631578947367,0.0,?,0.0,0.2,19.0,1608.0
