learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.79E-4,1.8218118283483717E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,904.0
2.0,0.00501,1.171665887037913E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,904.0
3.0,0.006104,1.4275146855248346E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,904.0
4.0,0.007174,1.6777507132954069E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,904.0
5.0,0.008068,1.886826422479418E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,904.0
6.0,0.008932,2.088886168267992E-12,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,904.0
7.0,0.009702,2.2689625620841983E-12,7.0,0.0,0.0,0.0,0.0,?,0.0,0.2,7.0,904.0
8.0,0.010519,2.4600306318865883E-12,8.0,0.0,0.0,0.125,0.0,?,0.0,0.2,8.0,904.0
9.0,0.011641,2.7224276628759172E-12,9.0,0.0,0.0,0.1111111111111111,0.0,?,0.0,0.2,9.0,904.0
10.0,0.012647,2.957696302069558E-12,10.0,0.0,0.0,0.1,0.0,?,0.0,0.2,10.0,904.0
11.0,0.013355,3.123273038201862E-12,11.0,0.0,0.0,0.18181818181818182,0.0,?,0.0,0.2,11.0,904.0
12.0,0.014036,3.282535407278273E-12,12.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,12.0,904.0
13.0,0.014628,3.4209837516148888E-12,13.0,0.0,0.0,0.15384615384615385,0.0,?,0.0,0.2,13.0,904.0
14.0,0.015188,3.551948401663039E-12,14.0,0.0,0.0,0.21428571428571427,0.0,?,0.0,0.2,14.0,904.0
15.0,0.015719,3.676130953762267E-12,15.0,0.0,0.0,0.2,0.0,?,0.0,0.2,15.0,904.0
16.0,0.01624,3.797974851396349E-12,16.0,0.0,0.0,0.1875,0.0,?,0.0,0.2,16.0,904.0
17.0,0.016721,3.9104641311698496E-12,17.0,0.0,0.0,0.17647058823529413,0.0,?,0.0,0.2,17.0,904.0
18.0,0.01718,4.0178083711200295E-12,18.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,18.0,904.0
19.0,0.017732,4.146902097596063E-12,19.0,0.0,0.0,0.15789473684210525,0.0,?,0.0,0.2,19.0,904.0
20.0,0.018151,4.2448917196856605E-12,20.0,0.0,0.0,0.2,0.0,?,0.0,0.2,20.0,904.0
21.0,0.01861,4.3522359596358404E-12,21.0,0.0,0.0,0.19047619047619047,0.0,?,0.0,0.2,21.0,904.0
22.0,0.019002,4.443911214669545E-12,22.0,0.0,0.0,0.18181818181818182,0.0,?,0.0,0.2,22.0,904.0
23.0,0.020755,4.853877342409558E-12,23.0,0.0,0.0,0.17391304347826086,0.0,?,0.0,0.2,23.0,904.0
24.0,0.021647,5.06248532070054E-12,24.0,0.0,0.0,0.20833333333333334,0.0,?,0.0,0.2,24.0,904.0
25.0,0.022064,5.1600072118971085E-12,25.0,0.0,0.0,0.2,0.0,?,0.0,0.2,25.0,904.0
26.0,0.022475,5.25612591041459E-12,26.0,0.0,0.0,0.19230769230769232,0.0,?,0.0,0.2,26.0,904.0
27.0,0.022862,5.346631838215722E-12,27.0,0.0,0.0,0.18518518518518517,0.0,?,0.0,0.2,27.0,904.0
28.0,0.023236,5.434097515212165E-12,28.0,0.0,0.0,0.17857142857142858,0.0,?,0.0,0.2,28.0,904.0
29.0,0.023636,5.527643693817987E-12,29.0,0.0,0.0,0.1724137931034483,0.0,?,0.0,0.2,29.0,904.0
30.0,0.024011,5.6153432362609445E-12,30.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,30.0,904.0
31.0,0.024429,5.713098992904028E-12,31.0,0.0,0.0,0.16129032258064516,0.0,?,0.0,0.2,31.0,904.0
32.0,0.024827,5.80617744061682E-12,32.0,0.0,0.0,0.15625,0.0,?,0.0,0.2,32.0,904.0
33.0,0.025246,5.904167062706418E-12,33.0,0.0,0.0,0.18181818181818182,0.0,?,0.0,0.2,33.0,904.0
34.0,0.025612,5.989761816130744E-12,34.0,0.0,0.0,0.20588235294117646,0.0,?,0.0,0.2,34.0,904.0
35.0,0.025988,6.077695224020216E-12,35.0,0.0,0.0,0.22857142857142856,0.0,?,0.0,0.2,35.0,904.0
36.0,0.026369,6.166797959142261E-12,36.0,0.0,0.0,0.2222222222222222,0.0,?,0.0,0.2,36.0,904.0
37.0,0.026778,6.262448926766713E-12,37.0,0.0,0.0,0.21621621621621623,0.0,?,0.0,0.2,37.0,904.0
38.0,0.02713,6.3447695639398355E-12,38.0,0.0,0.0,0.21052631578947367,0.0,?,0.0,0.2,38.0,904.0
39.0,0.027482,6.427090201112958E-12,39.0,0.0,0.0,0.20512820512820512,0.0,?,0.0,0.2,39.0,904.0
40.0,0.027831,6.508709241946537E-12,40.0,0.0,0.0,0.225,0.0,?,0.0,0.2,40.0,904.0
41.0,0.028192,6.593134668138291E-12,41.0,0.0,0.0,0.24390243902439024,0.0,?,0.0,0.2,41.0,904.0
42.0,0.028533,6.672882785399754E-12,42.0,0.0,0.0,0.2619047619047619,0.0,?,0.0,0.2,42.0,904.0
43.0,0.02888,6.754034095340304E-12,43.0,0.0,0.0,0.27906976744186046,0.0,?,0.0,0.2,43.0,904.0
44.0,0.029249,6.840330445104174E-12,44.0,0.0,0.0,0.2727272727272727,0.0,?,0.0,0.2,44.0,904.0
45.0,0.029595,6.92124788959821E-12,45.0,0.0,0.0,0.26666666666666666,0.0,?,0.0,0.2,45.0,904.0
46.0,0.029941,7.002165334092245E-12,46.0,0.0,0.0,0.2608695652173913,0.0,?,0.0,0.2,46.0,904.0
47.0,0.030334,7.094074454572465E-12,47.0,0.0,0.0,0.2553191489361702,0.0,?,0.0,0.2,47.0,904.0
48.0,0.030671,7.172887110047869E-12,48.0,0.0,0.0,0.25,0.0,?,0.0,0.2,48.0,904.0
49.0,0.03111,7.275554041067758E-12,49.0,0.0,0.0,0.24489795918367346,0.0,?,0.0,0.2,49.0,904.0
50.0,0.031461,7.357640812794367E-12,50.0,0.0,0.0,0.24,0.0,?,0.0,0.2,50.0,904.0
51.0,0.031846,7.44767900970247E-12,51.0,0.0,0.0,0.23529411764705882,0.0,?,0.0,0.2,51.0,904.0
52.0,0.032227,7.536781744824516E-12,52.0,0.0,0.0,0.23076923076923078,0.0,?,0.0,0.2,52.0,904.0
53.0,0.032571,7.617231458425523E-12,53.0,0.0,0.0,0.24528301886792453,0.0,?,0.0,0.2,53.0,904.0
54.0,0.032886,7.690899074077607E-12,54.0,0.0,0.0,0.25925925925925924,0.0,?,0.0,0.2,54.0,904.0
55.0,0.033185,7.760824842585459E-12,55.0,0.0,0.0,0.2727272727272727,0.0,?,0.0,0.2,55.0,904.0
56.0,0.033504,7.835427920023601E-12,56.0,0.0,0.0,0.26785714285714285,0.0,?,0.0,0.2,56.0,904.0
57.0,0.033815,7.908160073889626E-12,57.0,0.0,0.0,0.2807017543859649,0.0,?,0.0,0.2,57.0,904.0
58.0,0.034116,7.978553573290507E-12,58.0,0.0,0.0,0.29310344827586204,0.0,?,0.0,0.2,58.0,904.0
59.0,0.034413,8.04801161090533E-12,59.0,0.0,0.0,0.288135593220339,0.0,?,0.0,0.2,59.0,904.0
60.0,0.03472,8.119808302985297E-12,60.0,0.0,0.0,0.2833333333333333,0.0,?,0.0,0.2,60.0,904.0
61.0,0.035035,8.193475918637382E-12,61.0,0.0,0.0,0.29508196721311475,0.0,?,0.0,0.2,61.0,904.0
62.0,0.035336,8.263869418038263E-12,62.0,0.0,0.0,0.2903225806451613,0.0,?,0.0,0.2,62.0,904.0
63.0,0.035642,8.335432244671716E-12,63.0,0.0,0.0,0.2857142857142857,0.0,?,0.0,0.2,63.0,904.0
64.0,0.035949,8.407228936751684E-12,64.0,0.0,0.0,0.28125,0.0,?,0.0,0.2,64.0,904.0
65.0,0.04121,9.63759505086475E-12,65.0,0.0,0.0,0.27692307692307694,0.0,?,0.0,0.2,65.0,904.0
66.0,0.041845,9.786099609401492E-12,66.0,0.0,0.0,0.2878787878787879,0.0,?,0.0,0.2,66.0,904.0
67.0,0.042165,9.86093655228615E-12,67.0,0.0,0.0,0.2835820895522388,0.0,?,0.0,0.2,67.0,904.0
68.0,0.042468,9.931797782580058E-12,68.0,0.0,0.0,0.27941176470588236,0.0,?,0.0,0.2,68.0,904.0
69.0,0.042761,1.0000320358408823E-11,69.0,0.0,0.0,0.2753623188405797,0.0,?,0.0,0.2,69.0,904.0
70.0,0.043064,1.0071181588702732E-11,70.0,0.0,0.0,0.2714285714285714,0.0,?,0.0,0.2,70.0,904.0
71.0,0.043373,1.0143446011675729E-11,71.0,0.0,0.0,0.2676056338028169,0.0,?,0.0,0.2,71.0,904.0
