learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.08266,6.10732783873876E-11,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,2856.0
2.0,0.095275,7.039386158188184E-11,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,2856.0
3.0,0.100614,7.433857768774033E-11,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,2856.0
4.0,0.104749,7.739371930559477E-11,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,2856.0
5.0,0.107799,7.964720949530602E-11,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,2856.0
6.0,0.109066,8.058333148558935E-11,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,2856.0
7.0,0.110189,8.141305918494861E-11,7.0,0.0,0.0,0.0,0.0,?,0.0,0.2,7.0,2856.0
8.0,0.112166,8.287376413742702E-11,8.0,0.0,0.0,0.125,0.0,?,0.0,0.2,8.0,2856.0
9.0,0.114549,8.463444188237191E-11,9.0,0.0,0.0,0.125,0.0,?,0.0,0.2,9.0,2856.0
10.0,0.11659,8.614243318637213E-11,10.0,0.0,0.0,0.12361111111111112,0.0,?,0.0,0.2,10.0,2856.0
11.0,0.118758,8.774425834417344E-11,11.0,0.0,0.0,0.12146464646464648,0.0,?,0.0,0.2,11.0,2856.0
12.0,0.121023,8.94177518785E-11,12.0,0.0,0.0,0.11891835016835017,0.0,?,0.0,0.2,12.0,2856.0
13.0,0.121994,9.013517449299496E-11,13.0,0.0,0.0,0.11618104118104118,0.0,?,0.0,0.2,13.0,2856.0
14.0,0.123666,9.137053042650225E-11,14.0,0.0,0.0,0.11337690087690087,0.0,?,0.0,0.2,14.0,2856.0
15.0,0.124769,9.218548114101094E-11,15.0,0.0,0.0,0.11058034558034557,0.0,?,0.0,0.2,15.0,2856.0
16.0,0.125601,9.280020371079446E-11,16.0,0.0,0.0,0.10783574064824064,0.0,?,0.0,0.2,16.0,2856.0
17.0,0.126849,9.372228756546976E-11,17.0,0.0,0.0,0.10516893237481473,0.0,?,0.0,0.2,17.0,2856.0
18.0,0.127658,9.432001660267513E-11,18.0,0.0,0.0,0.15161379560889365,0.0,?,0.0,0.2,18.0,2856.0
19.0,0.128477,9.492513413230579E-11,19.0,0.0,0.0,0.14948207537216826,0.0,?,0.0,0.2,19.0,2856.0
20.0,0.129301,9.55339459081491E-11,20.0,0.0,0.0,0.14727112949829668,0.0,?,0.0,0.2,20.0,2856.0
21.0,0.13014,9.615384042263032E-11,21.0,0.0,0.0,0.14502012333171113,0.0,?,0.0,0.2,21.0,2856.0
22.0,0.13093,9.673753132422767E-11,22.0,0.0,0.0,0.1427573038729104,0.0,?,0.0,0.2,22.0,2856.0
23.0,0.135671,1.0024041558305424E-10,23.0,0.0,0.0,0.14050303374404868,0.0,?,0.0,0.2,23.0,2856.0
24.0,0.13779,1.0180603712797167E-10,24.0,0.0,0.0,0.13827192907717709,0.0,?,0.0,0.2,24.0,2856.0
25.0,0.139891,1.0335835938652358E-10,25.0,0.0,0.0,0.16940771858075668,0.0,?,0.0,0.2,25.0,2856.0
26.0,0.142176,1.0504662990570071E-10,26.0,0.0,0.0,0.16750742171226604,0.0,?,0.0,0.2,26.0,2856.0
27.0,0.144205,1.0654575501879059E-10,27.0,0.0,0.0,0.16557694740383452,0.0,?,0.0,0.2,27.0,2856.0
28.0,0.146365,1.0814166938265167E-10,28.0,0.0,0.0,0.16363173896480868,0.0,?,0.0,0.2,28.0,2856.0
29.0,0.148728,1.0988757014274599E-10,29.0,0.0,0.0,0.16168384648818962,0.0,?,0.0,0.2,29.0,2856.0
30.0,0.15135,1.1182483285665514E-10,30.0,0.0,0.0,0.1597426608006523,0.0,?,0.0,0.2,30.0,2856.0
31.0,0.152419,1.1261466269691788E-10,31.0,0.0,0.0,0.1822394413278202,0.0,?,0.0,0.2,31.0,2856.0
32.0,0.153487,1.1340375368793809E-10,32.0,0.0,0.0,0.1827944587863258,0.0,?,0.0,0.2,32.0,2856.0
33.0,0.158601,1.171822287142277E-10,33.0,0.0,0.0,0.18331583882310382,0.0,?,0.0,0.2,33.0,2856.0
34.0,0.159547,1.1788118009765944E-10,34.0,0.0,0.0,0.20182125532830664,0.0,?,0.0,0.2,34.0,2856.0
35.0,0.160339,1.1846634869774183E-10,35.0,0.0,0.0,0.20141207660464075,0.0,?,0.0,0.2,35.0,2856.0
36.0,0.161102,1.190300906697909E-10,36.0,0.0,0.0,0.20071925748327002,0.0,?,0.0,0.2,36.0,2856.0
37.0,0.161837,1.195731448630492E-10,37.0,0.0,0.0,0.20006388804413552,0.0,?,0.0,0.2,37.0,2856.0
38.0,0.1626,1.2013688683509827E-10,38.0,0.0,0.0,0.19918501379736003,0.0,?,0.0,0.2,38.0,2856.0
39.0,0.163299,1.2065334245562553E-10,39.0,0.0,0.0,0.21544522711879524,0.0,?,0.0,0.2,39.0,2856.0
40.0,0.163996,1.2116832037766773E-10,40.0,0.0,0.0,0.21532225433556224,0.0,?,0.0,0.2,40.0,2856.0
41.0,0.164743,1.2172024076183635E-10,41.0,0.0,0.0,0.21520528022468202,0.0,?,0.0,0.2,41.0,2856.0
42.0,0.165461,1.2225073451797165E-10,42.0,0.0,0.0,0.21484324974314198,0.0,?,0.0,0.2,42.0,2856.0
43.0,0.16621,1.2280413260062534E-10,43.0,0.0,0.0,0.21449805788865028,0.0,?,0.0,0.2,43.0,2856.0
44.0,0.166925,1.2333240980903306E-10,44.0,0.0,0.0,0.2139521063565489,0.0,?,0.0,0.2,44.0,2856.0
45.0,0.167615,1.2384221578637758E-10,45.0,0.0,0.0,0.22718703309359917,0.0,?,0.0,0.2,45.0,2856.0
46.0,0.168316,1.243601491053899E-10,46.0,0.0,0.0,0.2271888960105367,0.0,?,0.0,0.2,46.0,2856.0
47.0,0.169011,1.2487364932894704E-10,47.0,0.0,0.0,0.22719067965441309,0.0,?,0.0,0.2,47.0,2856.0
48.0,0.169726,1.2540192653735476E-10,48.0,0.0,0.0,0.22698652600219252,0.0,?,0.0,0.2,48.0,2856.0
49.0,0.17168,1.26845637957255E-10,49.0,0.0,0.0,0.2392130654005506,0.0,?,0.0,0.2,49.0,2856.0
