learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001049,3.7341482109493675E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1376.0
2.0,0.006049,2.153275741471185E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1376.0
3.0,0.007325,2.6074962483512035E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1376.0
4.0,0.009126,3.248602151870728E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1376.0
5.0,0.01016,3.616677390204536E-12,5.0,0.0,0.0,0.2,0.0,?,0.0,0.2,5.0,1376.0
6.0,0.011161,4.016510728332732E-12,6.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,6.0,1544.0
7.0,0.012117,4.398369540770849E-12,7.0,0.0,0.0,0.29047619047619044,0.0,?,0.0,0.2,7.0,1544.0
8.0,0.013343,4.8880755073494385E-12,8.0,0.0,0.0,0.34345238095238095,0.0,?,0.0,0.2,8.0,1544.0
9.0,0.01452,5.358209212621053E-12,9.0,0.0,0.0,0.34695767195767196,0.0,?,0.0,0.2,9.0,1544.0
10.0,0.0153,5.6697676579157516E-12,10.0,0.0,0.0,0.3455952380952381,0.0,?,0.0,0.2,10.0,1544.0
11.0,0.016283,6.062411185767916E-12,11.0,0.0,0.0,0.34145021645021645,0.0,?,0.0,0.2,11.0,1544.0
12.0,0.018116,6.794573532210457E-12,12.0,0.0,0.0,0.3357233044733045,0.0,?,0.0,0.2,12.0,1544.0
13.0,0.019429,7.319030248456532E-12,13.0,0.0,0.0,0.32912920412920416,0.0,?,0.0,0.2,13.0,1544.0
14.0,0.020604,7.788365085919699E-12,14.0,0.0,0.0,0.3605650302078874,0.0,?,0.0,0.2,14.0,1544.0
15.0,0.021809,8.269682940509584E-12,15.0,0.0,0.0,0.35557498057498055,0.0,?,0.0,0.2,15.0,1544.0
16.0,0.022427,8.54339243637191E-12,16.0,0.0,0.0,0.35001821095571095,0.0,?,0.0,0.2,16.0,1712.0
17.0,0.022879,8.743581258588367E-12,17.0,0.0,0.0,0.3441347867818456,0.0,?,0.0,0.2,17.0,1712.0
18.0,0.023321,8.939341124561099E-12,18.0,0.0,0.0,0.3380880829410241,0.0,?,0.0,0.2,18.0,1712.0
19.0,0.023746,9.127571764919494E-12,19.0,0.0,0.0,0.3319898797452977,0.0,?,0.0,0.2,19.0,1712.0
20.0,0.024167,9.314030822780397E-12,20.0,0.0,0.0,0.3259167015475065,0.0,?,0.0,0.2,20.0,1712.0
21.0,0.024628,9.51820570561621E-12,21.0,0.0,0.0,0.34849209671191095,0.0,?,0.0,0.2,21.0,1712.0
22.0,0.025063,9.710865302218332E-12,22.0,0.0,0.0,0.34347405768388034,0.0,?,0.0,0.2,22.0,1712.0
23.0,0.027172,1.0644932174020345E-11,23.0,0.0,0.0,0.3384218259268737,0.0,?,0.0,0.2,23.0,1712.0
24.0,0.027618,1.0842463622490566E-11,24.0,0.0,0.0,0.33337888752774675,0.0,?,0.0,0.2,24.0,1712.0
25.0,0.028099,1.1055496417813832E-11,25.0,0.0,0.0,0.3517103986933035,0.0,?,0.0,0.2,25.0,1712.0
26.0,0.028537,1.1249484701289072E-11,26.0,0.0,0.0,0.34741384489740723,0.0,?,0.0,0.2,26.0,1712.0
27.0,0.028964,1.1438601132896212E-11,27.0,0.0,0.0,0.34309367400377105,0.0,?,0.0,0.2,27.0,1712.0
28.0,0.029383,1.162417439950837E-11,28.0,0.0,0.0,0.3387768364401443,0.0,?,0.0,0.2,28.0,1712.0
29.0,0.031187,1.2423158105876711E-11,29.0,0.0,0.0,0.3344840391244742,0.0,?,0.0,0.2,29.0,1712.0
30.0,0.031955,1.276330194539494E-11,30.0,0.0,0.0,0.3302311228777964,0.0,?,0.0,0.2,30.0,1712.0
31.0,0.032441,1.2978549218840069E-11,31.0,0.0,0.0,0.32603011891399647,0.0,?,0.0,0.2,31.0,1712.0
32.0,0.032904,1.3183609892924626E-11,32.0,0.0,0.0,0.3218900647947083,0.0,?,0.0,0.2,32.0,1712.0
33.0,0.033651,1.3514452924331029E-11,33.0,0.0,0.0,0.317817638588808,0.0,?,0.0,0.2,33.0,1712.0
34.0,0.034116,1.3720399389664331E-11,34.0,0.0,0.0,0.3325342321062495,0.0,?,0.0,0.2,34.0,1712.0
35.0,0.034541,1.3908630030022727E-11,35.0,0.0,0.0,0.3289156069872474,0.0,?,0.0,0.2,35.0,1712.0
36.0,0.034972,1.4118250045511458E-11,36.0,0.0,0.0,0.32533461790426826,0.0,?,0.0,0.2,36.0,1880.0
37.0,0.035412,1.4332247277100882E-11,37.0,0.0,0.0,0.32179704564859735,0.0,?,0.0,0.2,37.0,1880.0
38.0,0.035842,1.4541380935245091E-11,38.0,0.0,0.0,0.31830736521545505,0.0,?,0.0,0.2,38.0,1880.0
39.0,0.036282,1.4755378166834513E-11,39.0,0.0,0.0,0.33106331671465394,0.0,?,0.0,0.2,39.0,1880.0
40.0,0.036718,1.4967429969045852E-11,40.0,0.0,0.0,0.3279149389249927,0.0,?,0.0,0.2,40.0,1880.0
41.0,0.037186,1.5195045206281874E-11,41.0,0.0,0.0,0.33942920870730997,0.0,?,0.0,0.2,41.0,1880.0
42.0,0.037633,1.5412446939282948E-11,42.0,0.0,0.0,0.33657404171718236,0.0,?,0.0,0.2,42.0,1880.0
43.0,0.038078,1.562887595759498E-11,43.0,0.0,0.0,0.33373012712575284,0.0,?,0.0,0.2,43.0,1880.0
44.0,0.038667,1.5915340433518095E-11,44.0,0.0,0.0,0.33090222254519924,0.0,?,0.0,0.2,44.0,1880.0
45.0,0.039123,1.6137119382619862E-11,45.0,0.0,0.0,0.32809429436742715,0.0,?,0.0,0.2,45.0,1880.0
46.0,0.039557,1.6348198470142157E-11,46.0,0.0,0.0,0.32530963579422223,0.0,?,0.0,0.2,46.0,1880.0
47.0,0.039994,1.6560736629698018E-11,47.0,0.0,0.0,0.322550966392495,0.0,?,0.0,0.2,47.0,1880.0
48.0,0.040453,1.6783974650833347E-11,48.0,0.0,0.0,0.31982051629477903,0.0,?,0.0,0.2,48.0,1880.0
49.0,0.040843,1.69736540151967E-11,49.0,0.0,0.0,0.3171200975948856,0.0,?,0.0,0.2,49.0,1880.0
50.0,0.041225,1.715944252080388E-11,50.0,0.0,0.0,0.314451165030743,0.0,?,0.0,0.2,50.0,1880.0
51.0,0.041647,1.7364685320191917E-11,51.0,0.0,0.0,0.311814867677199,0.0,?,0.0,0.2,51.0,1880.0
52.0,0.042029,1.7550473825799097E-11,52.0,0.0,0.0,0.3216555319865741,0.0,?,0.0,0.2,52.0,1880.0
53.0,0.042414,1.773772140343984E-11,53.0,0.0,0.0,0.3192150067096141,0.0,?,0.0,0.2,53.0,1880.0
54.0,0.04279,1.7920591764979894E-11,54.0,0.0,0.0,0.3167976777943068,0.0,?,0.0,0.2,54.0,1880.0
55.0,0.043178,1.8109298414654204E-11,55.0,0.0,0.0,0.3144047233832319,0.0,?,0.0,0.2,55.0,1880.0
56.0,0.043562,1.8296059634950427E-11,56.0,0.0,0.0,0.3120371065695703,0.0,?,0.0,0.2,56.0,1880.0
57.0,0.043936,1.8477957281801436E-11,57.0,0.0,0.0,0.30969560344679586,0.0,?,0.0,0.2,57.0,1880.0
58.0,0.044303,1.8656450427240796E-11,58.0,0.0,0.0,0.30738082746480333,0.0,?,0.0,0.2,58.0,1880.0
59.0,0.044677,1.8838348074091804E-11,59.0,0.0,0.0,0.30509325061122106,0.0,?,0.0,0.2,59.0,1880.0
60.0,0.045056,1.9022677507665422E-11,60.0,0.0,0.0,0.3028332218580962,0.0,?,0.0,0.2,60.0,1880.0
61.0,0.045468,1.9223056733608244E-11,61.0,0.0,0.0,0.3115299449970345,0.0,?,0.0,0.2,61.0,1880.0
62.0,0.045843,1.9405440737803775E-11,62.0,0.0,0.0,0.3094137824785736,0.0,?,0.0,0.2,62.0,1880.0
63.0,0.046218,1.9587824741999306E-11,63.0,0.0,0.0,0.30731863283349636,0.0,?,0.0,0.2,63.0,1880.0
64.0,0.046615,1.9780908607774308E-11,64.0,0.0,0.0,0.3154136045922984,0.0,?,0.0,0.2,64.0,1880.0
65.0,0.049581,2.122344449162483E-11,65.0,0.0,0.0,0.3134457029831861,0.0,?,0.0,0.2,65.0,1880.0
66.0,0.05,2.1427228218979304E-11,66.0,0.0,0.0,0.3114937284624618,0.0,?,0.0,0.2,66.0,1880.0
67.0,0.050395,2.1619339370065263E-11,67.0,0.0,0.0,0.31905623726424326,0.0,?,0.0,0.2,67.0,1880.0
68.0,0.05078,2.1806586947706008E-11,68.0,0.0,0.0,0.31721761393309655,0.0,?,0.0,0.2,68.0,1880.0
69.0,0.051158,2.1990430023935104E-11,69.0,0.0,0.0,0.3153909306962145,0.0,?,0.0,0.2,69.0,1880.0
