learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,8.59E-4,3.3244697584046254E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1496.0
2.0,0.006811,2.6359678142600587E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1496.0
3.0,0.008196,3.171985348065694E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1496.0
4.0,0.009402,3.638726969559988E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1496.0
5.0,0.010523,4.072572208113141E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,1496.0
6.0,0.012195,4.719663411378861E-12,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,1496.0
7.0,0.013697,5.300961848762301E-12,7.0,0.0,0.0,0.0,0.0,?,0.0,0.2,7.0,1496.0
8.0,0.014545,5.62915164563391E-12,8.0,0.0,0.0,0.125,0.0,?,0.0,0.2,8.0,1496.0
9.0,0.015581,6.030100501245924E-12,9.0,0.0,0.0,0.125,0.0,?,0.0,0.2,9.0,1496.0
10.0,0.016395,6.345131744941077E-12,10.0,0.0,0.0,0.12361111111111112,0.0,?,0.0,0.2,10.0,1496.0
11.0,0.017626,6.8215487731827644E-12,11.0,0.0,0.0,0.12146464646464648,0.0,?,0.0,0.2,11.0,1496.0
12.0,0.01829,7.0785275763935525E-12,12.0,0.0,0.0,0.11891835016835017,0.0,?,0.0,0.2,12.0,1496.0
13.0,0.018924,7.323895891507468E-12,13.0,0.0,0.0,0.11618104118104118,0.0,?,0.0,0.2,13.0,1496.0
14.0,0.019878,7.693109412988028E-12,14.0,0.0,0.0,0.11337690087690087,0.0,?,0.0,0.2,14.0,1496.0
15.0,0.020482,7.92686724000507E-12,15.0,0.0,0.0,0.11058034558034557,0.0,?,0.0,0.2,15.0,1496.0
16.0,0.021059,8.150175627734927E-12,16.0,0.0,0.0,0.10783574064824064,0.0,?,0.0,0.2,16.0,1496.0
17.0,0.021638,8.374258048004575E-12,17.0,0.0,0.0,0.10516893237481473,0.0,?,0.0,0.2,17.0,1496.0
18.0,0.022401,8.669551461935044E-12,18.0,0.0,0.0,0.15161379560889365,0.0,?,0.0,0.2,18.0,1496.0
19.0,0.023064,8.926143248875936E-12,19.0,0.0,0.0,0.14948207537216826,0.0,?,0.0,0.2,19.0,1496.0
20.0,0.023594,9.131261871920692E-12,20.0,0.0,0.0,0.14727112949829668,0.0,?,0.0,0.2,20.0,1496.0
21.0,0.024099,9.326705088218052E-12,21.0,0.0,0.0,0.14502012333171113,0.0,?,0.0,0.2,21.0,1496.0
22.0,0.024605,9.52253532078531E-12,22.0,0.0,0.0,0.1427573038729104,0.0,?,0.0,0.2,22.0,1496.0
23.0,0.026609,1.0298115925656424E-11,23.0,0.0,0.0,0.14050303374404868,0.0,?,0.0,0.2,23.0,1496.0
24.0,0.027103,1.0489301962984933E-11,24.0,0.0,0.0,0.13827192907717709,0.0,?,0.0,0.2,24.0,1496.0
