learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.00125,3.2337589396370783E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1000.0
2.0,0.006082,1.5734177496698169E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1000.0
3.0,0.007447,1.926544225878186E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1000.0
4.0,0.009165,2.370992054541906E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1000.0
5.0,0.010038,2.5968377788861595E-12,5.0,0.0,0.0,0.2,0.0,?,0.0,0.2,5.0,1000.0
6.0,0.01086,2.809489766756694E-12,6.0,0.0,0.0,1.0,0.0,?,0.0,0.2,6.0,1000.0
7.0,0.011602,3.001445697413551E-12,7.0,0.0,0.0,1.5714285714285714,0.0,?,0.0,0.2,7.0,1000.0
8.0,0.013227,3.421834359566371E-12,8.0,0.0,0.0,2.0,0.0,?,0.0,0.2,8.0,1000.0
9.0,0.013916,3.600079152319167E-12,9.0,0.0,0.0,2.3333333333333335,0.0,?,0.0,0.2,9.0,1000.0
10.0,0.014486,3.7475385599666176E-12,10.0,0.0,0.0,2.6,0.0,?,0.0,0.2,10.0,1000.0
11.0,0.01597,4.131450421280331E-12,11.0,0.0,0.0,2.8181818181818183,0.0,?,0.0,0.2,11.0,1000.0
12.0,0.016834,4.354967839188046E-12,12.0,0.0,0.0,3.0,0.0,?,0.0,0.2,12.0,1000.0
13.0,0.017251,4.4628460374143386E-12,13.0,0.0,0.0,3.1538461538461537,0.0,?,0.0,0.2,13.0,1000.0
14.0,0.017701,4.5792613592412735E-12,14.0,0.0,0.0,3.2857142857142856,0.0,?,0.0,0.2,14.0,1000.0
15.0,0.018085,4.678602433866924E-12,15.0,0.0,0.0,3.4,0.0,?,0.0,0.2,15.0,1000.0
16.0,0.018517,4.790361142820782E-12,16.0,0.0,0.0,3.5,0.0,?,0.0,0.2,16.0,1000.0
17.0,0.018905,4.890737020307117E-12,17.0,0.0,0.0,3.588235294117647,0.0,?,0.0,0.2,17.0,1000.0
18.0,0.019271,4.9854214820596905E-12,18.0,0.0,0.0,3.611111111111111,0.0,?,0.0,0.2,18.0,1000.0
19.0,0.019646,5.082434250248803E-12,19.0,0.0,0.0,3.8421052631578947,0.0,?,0.0,0.2,19.0,1000.0
20.0,0.020015,5.177894814146889E-12,20.0,0.0,0.0,3.9166666666666665,0.0,?,0.0,0.2,20.0,1000.0
21.0,0.020414,5.281116399500105E-12,21.0,0.0,0.0,3.968253968253968,0.0,?,0.0,0.2,21.0,1000.0
22.0,0.020788,5.377870466974046E-12,22.0,0.0,0.0,4.015151515151515,0.0,?,0.0,0.2,22.0,1000.0
23.0,0.022417,5.79929393198755E-12,23.0,0.0,0.0,4.057971014492753,0.0,?,0.0,0.2,23.0,1000.0
24.0,0.022793,5.896565400891833E-12,24.0,0.0,0.0,4.097222222222222,0.0,?,0.0,0.2,24.0,1000.0
25.0,0.023164,5.992543366220262E-12,25.0,0.0,0.0,4.133333333333333,0.0,?,0.0,0.2,25.0,1000.0
26.0,0.023536,6.088780032263862E-12,26.0,0.0,0.0,4.166666666666666,0.0,?,0.0,0.2,26.0,1000.0
27.0,0.023918,6.187603705459171E-12,27.0,0.0,0.0,4.197530864197531,0.0,?,0.0,0.2,27.0,1000.0
28.0,0.024282,6.281770765781403E-12,28.0,0.0,0.0,4.226190476190476,0.0,?,0.0,0.2,28.0,1000.0
29.0,0.024674,6.383181446128422E-12,29.0,0.0,0.0,4.25287356321839,0.0,?,0.0,0.2,29.0,1000.0
30.0,0.025054,6.481487717893389E-12,30.0,0.0,0.0,4.277777777777777,0.0,?,0.0,0.2,30.0,1000.0
31.0,0.025441,6.581604894664553E-12,31.0,0.0,0.0,4.301075268817204,0.0,?,0.0,0.2,31.0,1000.0
32.0,0.025804,6.6755132542716135E-12,32.0,0.0,0.0,4.322916666666666,0.0,?,0.0,0.2,32.0,1000.0
33.0,0.026165,6.768904212448333E-12,33.0,0.0,0.0,4.3434343434343425,0.0,?,0.0,0.2,33.0,1000.0
34.0,0.026519,6.8604842656188545E-12,34.0,0.0,0.0,4.362745098039215,0.0,?,0.0,0.2,34.0,1000.0
35.0,0.026895,6.957755734523138E-12,35.0,0.0,0.0,4.352380952380952,0.0,?,0.0,0.2,35.0,1000.0
36.0,0.027249,7.0493357876936595E-12,36.0,0.0,0.0,4.425925925925926,0.0,?,0.0,0.2,36.0,1000.0
37.0,0.027637,7.1497116651799945E-12,37.0,0.0,0.0,4.495495495495495,0.0,?,0.0,0.2,37.0,1000.0
38.0,0.028009,7.245948331223594E-12,38.0,0.0,0.0,4.535087719298245,0.0,?,0.0,0.2,38.0,1000.0
39.0,0.028356,7.33571747938792E-12,39.0,0.0,0.0,4.555555555555555,0.0,?,0.0,0.2,39.0,1000.0
40.0,0.028707,7.426521430412929E-12,40.0,0.0,0.0,4.555952380952381,0.0,?,0.0,0.2,40.0,1000.0
41.0,0.02908,7.5230167971717E-12,41.0,0.0,0.0,4.5667828106852495,0.0,?,0.0,0.2,41.0,1000.0
42.0,0.029433,7.614338149627052E-12,42.0,0.0,0.0,4.5770975056689345,0.0,?,0.0,0.2,42.0,1000.0
43.0,0.029781,7.704365998506548E-12,43.0,0.0,0.0,4.5869324473975635,0.0,?,0.0,0.2,43.0,1000.0
44.0,0.030154,7.800861365265319E-12,44.0,0.0,0.0,4.596320346320346,0.0,?,0.0,0.2,44.0,1000.0
45.0,0.030495,7.889078309138618E-12,45.0,0.0,0.0,4.605291005291005,0.0,?,0.0,0.2,45.0,1000.0
46.0,0.030838,7.977812654442259E-12,46.0,0.0,0.0,4.613871635610766,0.0,?,0.0,0.2,46.0,1000.0
47.0,0.031182,8.066805700461071E-12,47.0,0.0,0.0,4.62208713272543,0.0,?,0.0,0.2,47.0,1000.0
48.0,0.031584,8.170803387959799E-12,48.0,0.0,0.0,4.629960317460317,0.0,?,0.0,0.2,48.0,1000.0
49.0,0.031934,8.261348638269638E-12,49.0,0.0,0.0,4.6375121477162295,0.0,?,0.0,0.2,49.0,1000.0
