learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,7.75E-4,2.614429427517785E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1304.0
2.0,0.005785,1.951545062992308E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1304.0
3.0,0.00715,2.412021987968021E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1304.0
4.0,0.008332,2.810764643881056E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1304.0
5.0,0.009498,3.2041097680727643E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,1304.0
6.0,0.010585,3.57080457939042E-12,6.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,6.0,1304.0
7.0,0.012471,4.207038631041845E-12,7.0,0.0,0.0,0.2619047619047619,0.0,?,0.0,0.2,7.0,1304.0
8.0,0.014976,5.05208969116211E-12,8.0,0.0,0.0,0.2648809523809524,0.0,?,0.0,0.2,8.0,1304.0
9.0,0.016174,5.456229878796472E-12,9.0,0.0,0.0,0.26322751322751325,0.0,?,0.0,0.2,9.0,1304.0
10.0,0.016879,5.694058620267444E-12,10.0,0.0,0.0,0.25912698412698415,0.0,?,0.0,0.2,10.0,1304.0
11.0,0.017675,5.962585823403464E-12,11.0,0.0,0.0,0.2537518037518038,0.0,?,0.0,0.2,11.0,1304.0
12.0,0.018478,6.2334744466675654E-12,12.0,0.0,0.0,0.24775733525733526,0.0,?,0.0,0.2,12.0,1304.0
13.0,0.019344,6.525615851084392E-12,13.0,0.0,0.0,0.24151959151959151,0.0,?,0.0,0.2,13.0,1304.0
14.0,0.020607,6.9516835113366445E-12,14.0,0.0,0.0,0.23525720311434598,0.0,?,0.0,0.2,14.0,1304.0
15.0,0.021252,7.169271508852641E-12,15.0,0.0,0.0,0.22909719909719908,0.0,?,0.0,0.2,15.0,1304.0
16.0,0.021827,7.363245305087832E-12,16.0,0.0,0.0,0.26894529082029084,0.0,?,0.0,0.2,16.0,1304.0
17.0,0.022312,7.526857985390557E-12,17.0,0.0,0.0,0.26415439136027374,0.0,?,0.0,0.2,17.0,1304.0
18.0,0.022748,7.673940724796719E-12,18.0,0.0,0.0,0.25928306896444153,0.0,?,0.0,0.2,18.0,1304.0
19.0,0.023176,7.818324698342218E-12,19.0,0.0,0.0,0.2894962407733306,0.0,?,0.0,0.2,19.0,1304.0
