learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.001624,6.755689779917399E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,1608.0
2.0,0.010574,4.398686190446218E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,1608.0
3.0,0.013438,5.590083698431651E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,1608.0
4.0,0.014654,6.095928450425466E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,1608.0
5.0,0.016953,7.052291184663773E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,1608.0
6.0,0.019541,8.12887524565061E-12,6.0,0.0,0.0,0.0,0.0,?,0.0,0.2,6.0,1608.0
7.0,0.021946,9.129332999388379E-12,7.0,0.0,0.0,0.0,0.0,?,0.0,0.2,7.0,1608.0
8.0,0.024127,1.0036608825127285E-11,8.0,0.0,0.0,0.125,0.0,?,0.0,0.2,8.0,1608.0
9.0,0.02523,1.0495446622371676E-11,9.0,0.0,0.0,0.1111111111111111,0.0,?,0.0,0.2,9.0,1608.0
10.0,0.026927,1.1201382925113044E-11,10.0,0.0,0.0,0.1,0.0,?,0.0,0.2,10.0,1608.0
11.0,0.028621,1.1906071255604428E-11,11.0,0.0,0.0,0.09090909090909091,0.0,?,0.0,0.2,11.0,1608.0
12.0,0.029255,1.2169809391101202E-11,12.0,0.0,0.0,0.08333333333333333,0.0,?,0.0,0.2,12.0,1608.0
13.0,0.02986,1.2421483794848125E-11,13.0,0.0,0.0,0.07692307692307693,0.0,?,0.0,0.2,13.0,1608.0
14.0,0.030438,1.2661926448345185E-11,14.0,0.0,0.0,0.07142857142857142,0.0,?,0.0,0.2,14.0,1608.0
15.0,0.031073,1.2926080574591955E-11,15.0,0.0,0.0,0.06666666666666667,0.0,?,0.0,0.2,15.0,1608.0
16.0,0.031651,1.3166523228089016E-11,16.0,0.0,0.0,0.0625,0.0,?,0.0,0.2,16.0,1608.0
17.0,0.032204,1.3396566112836204E-11,17.0,0.0,0.0,0.058823529411764705,0.0,?,0.0,0.2,17.0,1608.0
18.0,0.032772,1.3632848858833315E-11,18.0,0.0,0.0,0.1111111111111111,0.0,?,0.0,0.2,18.0,1608.0
19.0,0.033305,1.3854571928580604E-11,19.0,0.0,0.0,0.10526315789473684,0.0,?,0.0,0.2,19.0,1608.0
20.0,0.033833,1.4074215044577918E-11,20.0,0.0,0.0,0.1,0.0,?,0.0,0.2,20.0,1608.0
