learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.00179,4.1861914926105074E-13,1.0,0.0,0.0,0.0,0.0,?,0.0,0.2,1.0,904.0
2.0,0.00764,1.7867320113711888E-12,2.0,0.0,0.0,0.0,0.0,?,0.0,0.2,2.0,904.0
3.0,0.009904,2.316203382280138E-12,3.0,0.0,0.0,0.0,0.0,?,0.0,0.2,3.0,904.0
4.0,0.011982,2.80217578013738E-12,4.0,0.0,0.0,0.0,0.0,?,0.0,0.2,4.0,904.0
5.0,0.013081,3.0591939058568744E-12,5.0,0.0,0.0,0.0,0.0,?,0.0,0.2,5.0,904.0
6.0,0.01497,3.500965734322866E-12,6.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,6.0,904.0
7.0,0.016711,3.908125476704703E-12,7.0,0.0,0.0,0.14285714285714285,0.0,?,0.0,0.2,7.0,904.0
8.0,0.017508,4.094516237576802E-12,8.0,0.0,0.0,0.125,0.0,?,0.0,0.2,8.0,904.0
9.0,0.019398,4.536521931489309E-12,9.0,0.0,0.0,0.1111111111111111,0.0,?,0.0,0.2,9.0,904.0
10.0,0.020374,4.764774607287513E-12,10.0,0.0,0.0,0.1,0.0,?,0.0,0.2,10.0,904.0
11.0,0.021623,5.05687254998419E-12,11.0,0.0,0.0,0.09090909090909091,0.0,?,0.0,0.2,11.0,904.0
12.0,0.022692,5.3068747123082475E-12,12.0,0.0,0.0,0.08333333333333333,0.0,?,0.0,0.2,12.0,904.0
13.0,0.023333,5.456782463524076E-12,13.0,0.0,0.0,0.07692307692307693,0.0,?,0.0,0.2,13.0,904.0
14.0,0.023926,5.595464673307207E-12,14.0,0.0,0.0,0.07142857142857142,0.0,?,0.0,0.2,14.0,904.0
15.0,0.024329,5.689712448252572E-12,15.0,0.0,0.0,0.13333333333333333,0.0,?,0.0,0.2,15.0,904.0
16.0,0.024735,5.7846618195374805E-12,16.0,0.0,0.0,0.125,0.0,?,0.0,0.2,16.0,904.0
17.0,0.025132,5.877506401803759E-12,17.0,0.0,0.0,0.11764705882352941,0.0,?,0.0,0.2,17.0,904.0
18.0,0.025544,5.973858965767754E-12,18.0,0.0,0.0,0.16666666666666666,0.0,?,0.0,0.2,18.0,904.0
19.0,0.025938,6.066001951694488E-12,19.0,0.0,0.0,0.15789473684210525,0.0,?,0.0,0.2,19.0,904.0
