learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
1.0,0.00152,3.9322508705986875E-13,1.0,0.0,0.0,0.2,0.0,?,0.0,0.2,1.0,1000.0
2.0,0.007257,1.8773910899957022E-12,2.0,0.0,0.0,0.2,0.0,?,0.0,0.2,2.0,1000.0
3.0,0.01004,2.5973551803165012E-12,3.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,3.0,1000.0
4.0,0.011319,2.928233395020167E-12,4.0,0.0,0.0,0.2,0.0,?,0.0,0.2,4.0,1000.0
5.0,0.012227,3.1631336443954044E-12,5.0,0.0,0.0,0.2,0.0,?,0.0,0.2,5.0,1000.0
6.0,0.013119,3.3938946823279063E-12,6.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,6.0,1000.0
7.0,0.013897,3.595163838730918E-12,7.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,7.0,1000.0
8.0,0.015528,4.017104705174764E-12,8.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,8.0,1000.0
9.0,0.017201,4.44991100165579E-12,9.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,9.0,1000.0
10.0,0.017901,4.6310015022754664E-12,10.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,10.0,1000.0
11.0,0.019339,5.003013130691316E-12,11.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,11.0,1000.0
12.0,0.020707,5.356915709045198E-12,12.0,0.0,0.0,0.19999999999999998,0.0,?,0.0,0.2,12.0,1000.0
13.0,0.021946,5.6774458951420255E-12,13.0,0.0,0.0,0.2,0.0,?,0.0,0.2,13.0,1000.0
14.0,0.023296,6.02669186062283E-12,14.0,0.0,0.0,0.2,0.0,?,0.0,0.2,14.0,1000.0
15.0,0.024282,6.281770765781403E-12,15.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,15.0,1000.0
16.0,0.024841,6.426384465561973E-12,16.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,16.0,1000.0
17.0,0.025231,6.52727774447865E-12,17.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,17.0,1000.0
18.0,0.025601,6.6229970090919075E-12,18.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,18.0,1000.0
19.0,0.025982,6.721561981572046E-12,19.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,19.0,1000.0
20.0,0.026365,6.820644355482526E-12,20.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,20.0,1000.0
21.0,0.026753,6.9210202329688606E-12,21.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,21.0,1000.0
22.0,0.027642,7.15100516875585E-12,22.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,22.0,1000.0
23.0,0.030505,7.891665316290327E-12,23.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,23.0,1000.0
24.0,0.030891,7.99152379234632E-12,24.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,24.0,1000.0
25.0,0.031265,8.088277859820261E-12,25.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,25.0,1000.0
26.0,0.031635,8.18399712443352E-12,26.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,26.0,1000.0
27.0,0.031998,8.27790548404058E-12,27.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,27.0,1000.0
28.0,0.032355,8.370261639356614E-12,28.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,28.0,1000.0
29.0,0.032713,8.462876495387819E-12,29.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,29.0,1000.0
30.0,0.033081,8.558078358570735E-12,30.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,30.0,1000.0
31.0,0.033467,8.657936834626728E-12,31.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,31.0,1000.0
32.0,0.033838,8.753914799955156E-12,32.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,32.0,1000.0
33.0,0.034194,8.846012254556021E-12,33.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,33.0,1000.0
34.0,0.034568,8.942766322029963E-12,34.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,34.0,1000.0
35.0,0.03493,9.036415980921852E-12,35.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,35.0,1000.0
36.0,0.035283,9.127737333377204E-12,36.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,36.0,1000.0
37.0,0.035631,9.2177651822567E-12,37.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,37.0,1000.0
38.0,0.035989,9.310380038287905E-12,38.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,38.0,1000.0
39.0,0.036378,9.411014616489411E-12,39.0,0.0,0.0,0.20000000000000012,0.0,?,0.0,0.2,39.0,1000.0
40.0,0.037374,9.668680528799694E-12,40.0,0.0,0.0,0.2000000000000001,0.0,?,0.0,0.2,40.0,1000.0
41.0,0.037941,9.815363834301631E-12,41.0,0.0,0.0,0.20000000000000007,0.0,?,0.0,0.2,41.0,1000.0
42.0,0.038297,9.907461288902496E-12,42.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,42.0,1000.0
43.0,0.03865,9.998782641357847E-12,43.0,0.0,0.0,0.20000000000000004,0.0,?,0.0,0.2,43.0,1000.0
44.0,0.039008,1.0091397497389053E-11,44.0,0.0,0.0,0.2,0.0,?,0.0,0.2,44.0,1000.0
